accession,title,organism,n_samples,source_summary,library_strategy,single_cell_flag,material_flag,disease_terms_found,expression_files,decision,top_reason
GSE269412,The transcription factor ZNF469 regulates collagen production in liver fibrosis [RNA-Seq liver],Homo sapiens 262/262,262,liver-pattern source 262/262,RNA-Seq 262/262,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24829193, https://www.ncbi.nlm.nih.gov/sra?term=SRX24829194, https://www.ncbi.nlm.nih.gov/sra?term=SRX24829195, https://www.ncbi.nlm.nih.gov/sra?term=SRX24829196, https://www.ncbi.nlm.nih.gov/sra?term=SRX24829197, and 257 more (see sample_metadata.csv))",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE266939,The transcription factor ZNF469 regulates collagen production in liver fibrosis [RNAseq_HSC],Homo sapiens 36/36,36,liver-pattern source 0/36,RNA-Seq 36/36,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24488324, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488325, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488326, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488327, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488328, and 31 more (see sample_metadata.csv))",MANUAL_REVIEW,source_tissue: liver-pattern source 0/36
GSE255384,RNA-sequencing of alpha beta hydrolase domain 6 (ABHD6) wild type (WT) versus knockout (KO) Huh7 hepatoma cells with or without palmitic acid treatment.,Homo sapiens 24/24,24,liver-pattern source 0/24,RNA-Seq 24/24,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE255384_FPKMMatrix.txt.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 0/24
GSE288077,Metabolic dysfunction-associated steatotic liver disease may increase intrahepatic interferon gene signatures in patients with chronic hepatitis B,"mixed organisms: Homo sapiens 18/35, Mus musculus 17/35",35,liver-pattern source 35/35,RNA-Seq 35/35,PASS,PASS,disease/fibrosis terms found in sample metadata (19 sample(s)),processed series-level file: GSE288077_Human_FPKMs.csv.gz,MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 18/35, Mus musculus 17/35"
GSE278008,Transcriptomic analysis of NAFLD model cells with the co-administration of pseudo-natural flavonol and copper,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE278008_TPMs_allsamples.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE260862,Cell-permeated peptide P-T3H2 inhibits malignancy on hepatocarcinoma through stabilizing HNF4α protein,Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE260862_gene_expression.xls.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE279791,Effect of GCN5 depletion in hepatocytes in NAFLD,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE279791_fpkm.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE268273,Clinical and molecular characterization of steatotic liver disease in the setting of immune-mediated inflammatory diseases,Homo sapiens 109/109,109,liver-pattern source 109/109,RNA-Seq 109/109,PASS,PASS,disease/fibrosis terms found in sample metadata (109 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24684209, https://www.ncbi.nlm.nih.gov/sra?term=SRX24684210, https://www.ncbi.nlm.nih.gov/sra?term=SRX24684211, https://www.ncbi.nlm.nih.gov/sra?term=SRX24684212, https://www.ncbi.nlm.nih.gov/sra?term=SRX24684213, and 104 more (see sample_metadata.csv))",CANDIDATE,
GSE210140,Gene expression profiling of stress-induced senescence and paracrine senecence in human hepatocytes,Homo sapiens 20/20,20,liver-pattern source 20/20,RNA-Seq 20/20,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE210140_UJ3100_exp_gene_level_tpm.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE238219,Perturb-seq against putative NAFLD target genes in differentiated HepaRG cells,Homo sapiens 5/5,5,liver-pattern source 5/5,RNA-Seq 5/5,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (5/5), packaged in GSE238219_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, Cell Ranger, filtered_feature_bc_matrix (5 sample(s)))"
GSE269926,Single nucleus RNA-sequencing integrated into risk variant colocalization discovers 17 cell-type-specific abdominal obesity genes for metabolic dysfunction-associated steatotic liver disease [scRNA-seq],Homo sapiens 8/8,8,liver-pattern source 0/8; off-target tissue signal detected,RNA-Seq 8/8,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE269926_matrix.mtx.gz,REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, STARSolo, barcodes.tsv, features.tsv, matrix.mtx (9 sample(s)))"
GSE248376,Inferring secretory and metabolic pathway activity from omic data with secCellFie,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE248376_hepatokineTPM_GEO.csv.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE246221,A Mouse Model for Metabolic Dysfunction-associated Steatotic Liver Disease and Hepatocellular Carcinoma [RNA-seq],"mixed organisms: Homo sapiens 32/148, Mus musculus 116/148",148,liver-pattern source 148/148,RNA-Seq 148/148,PASS,PASS,disease/fibrosis terms found in sample metadata (28 sample(s)),processed series-level file: GSE246221_rawcounts_allsamples_human.txt.gz,MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 32/148, Mus musculus 116/148"
GSE246223,A Mouse Model for Metabolic Dysfunction-associated Steatotic Liver Disease and Hepatocellular Carcinoma,"mixed organisms: Homo sapiens 32/160, Mus musculus 128/160",160,liver-pattern source 160/160,"mixed strategies: ATAC-seq 12/160, RNA-Seq 148/160",PASS,PASS,disease/fibrosis terms found in sample metadata (28 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX22219328, https://www.ncbi.nlm.nih.gov/sra?term=SRX22219329, https://www.ncbi.nlm.nih.gov/sra?term=SRX22219330, https://www.ncbi.nlm.nih.gov/sra?term=SRX22219331, https://www.ncbi.nlm.nih.gov/sra?term=SRX22219332, and 155 more (see sample_metadata.csv))",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 32/160, Mus musculus 128/160"
GSE240729,Development of a novel non-invasive biomarker panel for hepatic fibrosis in individuals with MASLD,Homo sapiens 67/67,67,liver-pattern source 67/67,RNA-Seq 67/67,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (67/67), packaged in GSE240729_RAW.tar",MANUAL_REVIEW,"disease_relevance: disease term found only in series-level text, not corroborated by sample metadata"
GSE260666,Differential analysis of gene expression in liver tissues of patients with nonalcoholic fatty liver disease and controls.,Homo sapiens 16/16,16,liver-pattern source 16/16,RNA-Seq 16/16,PASS,PASS,disease/fibrosis terms found in sample metadata (10 sample(s)),processed series-level file: GSE260666_raw_counts.txt.gz,MANUAL_REVIEW,sample_count: 16 samples (below 20)
GSE229608,Multicellular liver organoid model for recapitulating hepatitis C virus infection and non-alcoholic fatty liver disease progression [scRNA-Seq],Homo sapiens 3/3,3,liver-pattern source 2/3,RNA-Seq 3/3,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (3/3), packaged in GSE229608_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, barcodes.tsv, features.tsv, matrix.mtx, scRNA (3 sample(s)))"
GSE229596,Multicellular liver organoid model for recapitulating hepatitis C virus infection and non-alcoholic fatty liver disease progression [RNA-Seq],Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE229596_merged.expression_Profile.GRCh38.gene.txt.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE261297,The fatty liver disease-causing protein PNPLA3-I148M alters lipid droplet-Golgi dynamics,Homo sapiens 60/60,60,liver-pattern source 60/60,RNA-Seq 60/60,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE261297_primary_count_gene.Counts.Table.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE202379,Single Nuclei RNA-Seq to map progression of non-alcoholic fatty liver disease (NAFLD) in patients II,Homo sapiens 59/59,59,liver-pattern source 59/59,RNA-Seq 59/59,FAIL,PASS,disease/fibrosis terms found in sample metadata (38 sample(s)),"processed per-sample counts (59/59), packaged in GSE202379_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Seurat, Single-nuclei, nuclei isolat (59 sample(s)))"
GSE248320,Lysine tRNA fragments and miR-194-5p co-regulate hepatic steatosis via β-Klotho and Perilipin 2 (RNA),Homo sapiens 4/4,4,liver-pattern source 0/4,RNA-Seq 4/4,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE248320_raw_counts_cells_longRNA.csv.gz,MANUAL_REVIEW,sample_count: 4 samples (below 20)
GSE207889,Stem cell-derived human liver organoids to model the progression of inflammatory and fibrotic injury in non-alcoholic fatty liver disease,Homo sapiens 19/19,19,liver-pattern source 19/19,RNA-Seq 19/19,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (19/19), packaged in GSE207889_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: .h5ad, 10x, Cell Ranger, barcodes.tsv, cellranger, features.tsv, matrix.mtx, scRNA (20 sample(s)))"
GSE214432,Transcriptome profile of hepatocellular carcinoma from non-alcoholic fatty liver.,Homo sapiens 45/45,45,liver-pattern source 45/45,RNA-Seq 45/45,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX21026420, https://www.ncbi.nlm.nih.gov/sra?term=SRX21026421, https://www.ncbi.nlm.nih.gov/sra?term=SRX21026422, https://www.ncbi.nlm.nih.gov/sra?term=SRX21026423, https://www.ncbi.nlm.nih.gov/sra?term=SRX21026424, and 40 more (see sample_metadata.csv))",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE233808,RNA N6-methyladenosine methyltransferase METTL3 drives NAFLD-HCC and is a therapeutic target for boosting immunotherapy,Homo sapiens 12/12,12,liver-pattern source 0/12,"mixed strategies: OTHER 8/12, RNA-Seq 4/12",PASS,WARN,disease/fibrosis terms found in sample metadata (12 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX20550764, https://www.ncbi.nlm.nih.gov/sra?term=SRX20550765, https://www.ncbi.nlm.nih.gov/sra?term=SRX20550766, https://www.ncbi.nlm.nih.gov/sra?term=SRX20550767, https://www.ncbi.nlm.nih.gov/sra?term=SRX20550768, and 7 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE233806,RNA N6-methyladenosine methyltransferase METTL3 drives NAFLD-HCC and is a therapeutic target for boosting immunotherapy [RNA-Seq],Homo sapiens 4/4,4,liver-pattern source 0/4,RNA-Seq 4/4,WARN,WARN,disease/fibrosis terms found in sample metadata (4 sample(s)),processed series-level file: GSE233806_Raw_counts_txt.csv.gz,MANUAL_REVIEW,sample_count: 4 samples (below 20)
GSE231875,Effect of overexpression of ZBED3 on gene expression in HHL-5 hepatocytes,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE231875_ExpressionProfile.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE200418,Transcriptomic profiling of induced steatosis in human precision-cut liver slices,Homo sapiens 99/99,99,liver-pattern source 99/99,RNA-Seq 99/99,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE200418_1047_uTPM.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE223652,Hepatocyte mARC1 Promotes Fatty Liver Disease,Homo sapiens 60/60,60,liver-pattern source 60/60,RNA-Seq 60/60,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE223652_counts_matrix_for_GEO_final.csv.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE213621,Hepatocyte Smoothened Activity Controls Susceptibility to Insulin Resistance and Nonalcoholic Fatty Liver Disease [RNA-Seq],Homo sapiens 368/368,368,liver-pattern source 368/368,RNA-Seq 368/368,WARN,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE213621_FPKMs_allsamples.txt.gz,MANUAL_REVIEW,"disease_relevance: disease term found only in series-level text, not corroborated by sample metadata"
GSE206417,Integrated Gut/Liver-on-a-Chip platform as in vitro human model of non-alcoholic fatty liver disease,Homo sapiens 16/16,16,liver-pattern source 0/16; off-target tissue signal detected,RNA-Seq 16/16,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (16/16), packaged in GSE206417_RAW.tar",MANUAL_REVIEW,sample_count: 16 samples (below 20)
GSE152091,Integrated Gut/Liver-on-a-Chip platform as in vitro human model of non-alcoholic fatty liver disease,Homo sapiens 23/23,23,liver-pattern source 0/23; off-target tissue signal detected,RNA-Seq 23/23,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (23/23), packaged in GSE152091_RAW.tar",REJECT,single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: SMART-seq (23 sample(s)))
GSE225740,Clinically Important Alterations in Pharmacogene Expression in Histologically Severe Nonalcoholic Fatty Liver Disease,Homo sapiens 93/93,93,liver-pattern source 93/93,RNA-Seq 93/93,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE225740_NAFLD_RNA_counts.csv.gz,MANUAL_REVIEW,"disease_relevance: disease term found only in series-level text, not corroborated by sample metadata"
GSE221705,Transcriptomic characterization of control and drug-treated APOB-mutant organoids to study steatosis-resolving drug effects,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX18840739, https://www.ncbi.nlm.nih.gov/sra?term=SRX18840740, https://www.ncbi.nlm.nih.gov/sra?term=SRX18840741, https://www.ncbi.nlm.nih.gov/sra?term=SRX18840742, https://www.ncbi.nlm.nih.gov/sra?term=SRX18840743, and 7 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE223990,Network Pharmacology-based analysis of Resinacein S against non-alcoholic fatty liver disease by modulating lipid metabolism,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE223990_All.counts.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE197399,Redistribution of lamina-associated domains reshapes Foxa2 binding in development of NAFLD,"mixed organisms: Homo sapiens 21/61, Mus musculus 40/61",61,liver-pattern source 61/61,"mixed strategies: ChIP-Seq 46/61, RNA-Seq 15/61",PASS,PASS,disease/fibrosis terms found in sample metadata (12 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX14280043, https://www.ncbi.nlm.nih.gov/sra?term=SRX14280044, https://www.ncbi.nlm.nih.gov/sra?term=SRX14280045, https://www.ncbi.nlm.nih.gov/sra?term=SRX14280046, https://www.ncbi.nlm.nih.gov/sra?term=SRX14280047, and 56 more (see sample_metadata.csv))",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 21/61, Mus musculus 40/61"
GSE217235,Multi cytokine producing liver CD4+ T cells characterize the liver of NASH patients,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,FAIL,PASS,disease/fibrosis terms found in sample metadata (6 sample(s)),"processed per-sample counts (6/6), packaged in GSE217235_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Chromium, barcodes.tsv, features.tsv, genes.tsv, matrix.mtx (6 sample(s)))"
GSE207310,Stellate cell expression of SPARC-related modular calcium-binding protein 2 is associated with human non-alcoholic fatty liver disease severity,Homo sapiens 30/30,30,liver-pattern source 30/30,RNA-Seq 30/30,WARN,PASS,disease/fibrosis terms found in sample metadata (30 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX15955186, https://www.ncbi.nlm.nih.gov/sra?term=SRX15955187, https://www.ncbi.nlm.nih.gov/sra?term=SRX15955188, https://www.ncbi.nlm.nih.gov/sra?term=SRX15955189, https://www.ncbi.nlm.nih.gov/sra?term=SRX15955190, and 25 more (see sample_metadata.csv))",MANUAL_REVIEW,single_cell_or_spatial: series prose mentions single-cell; sample metadata does not corroborate
GSE214435,Disseminative Recurrence Signature for hepatocellular carcinoma from non-alcoholic fatty liver disease,Homo sapiens 104/104,104,liver-pattern source 104/104,RNA-Seq 104/104,PASS,PASS,disease/fibrosis terms found in sample metadata (59 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX13615945, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615946, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615947, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615948, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615949, and 99 more (see sample_metadata.csv))",MANUAL_REVIEW,"metadata_completeness: patchy fields: fibrosis_stage 59/104, nas_score 59/104. reported consistently: age, sex, tissue; not reported anywhere: bmi, diagnosis, disease, ethnicity, group, stage, steatosis_grade, treatment"
GSE213653,"The loss of paraoxonase-2 activity aggravates lipid accumulation, mitochondrial dysfunction, and oxidative stress through the impaired autophagy pathway in in vitro fatty liver model",Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE213653_FPKMs_allsamples.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE210927,Effect of Combinatorial Extracellular Matrix and Substrate Stiffness on Gene Expression of Activated Hepatic Stellate Cells,Homo sapiens 18/18,18,liver-pattern source 18/18,RNA-Seq 18/18,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX17023418, https://www.ncbi.nlm.nih.gov/sra?term=SRX17023419, https://www.ncbi.nlm.nih.gov/sra?term=SRX17023420, https://www.ncbi.nlm.nih.gov/sra?term=SRX17023421, https://www.ncbi.nlm.nih.gov/sra?term=SRX17023422, and 13 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 18 samples (below 20)
GSE198391,Developmental modeling of hepatogenesis using obese iPSCs-hepatocyte differentiation uncovers pathological features,Homo sapiens 32/32,32,liver-pattern source 32/32,RNA-Seq 32/32,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX14433843, https://www.ncbi.nlm.nih.gov/sra?term=SRX14433844, https://www.ncbi.nlm.nih.gov/sra?term=SRX14433845, https://www.ncbi.nlm.nih.gov/sra?term=SRX14433846, https://www.ncbi.nlm.nih.gov/sra?term=SRX14433847, and 27 more (see sample_metadata.csv))",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE193084,Transcriptome profile of liver biopsy tissues from patients with non-alcoholic fatty liver disease,Homo sapiens 271/271,271,liver-pattern source 271/271,RNA-Seq 271/271,PASS,PASS,disease/fibrosis terms found in sample metadata (271 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX13586670, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586671, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586672, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586673, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586674, and 266 more (see sample_metadata.csv))",CANDIDATE,
GSE193080,Transcriptome profile of liver biopsy tissues from patients with non-alcoholic fatty liver disease (tissue validation set 2).,Homo sapiens 59/59,59,liver-pattern source 59/59,RNA-Seq 59/59,PASS,PASS,disease/fibrosis terms found in sample metadata (59 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX13615945, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615946, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615947, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615948, https://www.ncbi.nlm.nih.gov/sra?term=SRX13615949, and 54 more (see sample_metadata.csv))",CANDIDATE,
GSE193066,Transcriptome profile of liver biopsy tissues from patients with non-alcoholic fatty liver disease (tissue validation set 1).,Homo sapiens 164/164,164,liver-pattern source 164/164,RNA-Seq 164/164,PASS,PASS,disease/fibrosis terms found in sample metadata (164 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX13614022, https://www.ncbi.nlm.nih.gov/sra?term=SRX13614023, https://www.ncbi.nlm.nih.gov/sra?term=SRX13614024, https://www.ncbi.nlm.nih.gov/sra?term=SRX13614025, https://www.ncbi.nlm.nih.gov/sra?term=SRX13614026, and 159 more (see sample_metadata.csv))",CANDIDATE,
